symbol,name,sector,industry,market_cap_usd
CLF,Cleveland-Cliffs Inc. Common Stock,Basic Materials,Metal Mining,6405756598.0
STEP,StepStone Group Inc. Class A Common Stock,Finance,Investment Managers,6403748576.0
DBX,Dropbox Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software,6399436802.0
S,SentinelOne Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software,6389130054.0
ROAD,Construction Partners Inc. Class A Common Stock,Industrials,Military/Government/Technical,6380510982.0
PTGX,Protagonist Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,6379045088.0
PRIM,Primoris Services Corporation Common Stock,Industrials,Water Sewer Pipeline Comm & Power Line Construction,6377667609.0
AN,AutoNation Inc. Common Stock,Consumer Discretionary,Retail-Auto Dealers and Gas Stations,6357014820.0
LAD,Lithia Motors Inc. Common Stock,Consumer Discretionary,Retail-Auto Dealers and Gas Stations,6307633696.0
RSI,Rush Street Interactive Inc. Class A Common Stock,Consumer Discretionary,Services-Misc. Amusement & Recreation,6297622332.0
COMP,Compass Inc. Class A Common Stock,Technology,EDP Services,6276085578.0
PJT,PJT Partners Inc. Class A Common Stock,Finance,Investment Managers,6266991279.0
FLR,Fluor Corporation Common Stock,Industrials,Military/Government/Technical,6266988234.0
AXTA,Axalta Coating Systems Ltd. Common Shares,Consumer Discretionary,Paints/Coatings,6253628401.0
MHK,Mohawk Industries Inc. Common Stock,Consumer Discretionary,Home Furnishings,6241602048.0
FNB,F.N.B. Corporation Common Stock,Finance,Major Banks,6240048026.0
GBCI,Glacier Bancorp Inc. Common Stock,Finance,Major Banks,6202598890.0
OMF,OneMain Holdings Inc. Common Stock,Finance,Finance: Consumer Services,6178595313.0
EXP,Eagle Materials Inc Common Stock,Industrials,Building Materials,6171988956.0
INGM,Ingram Micro Holding Corporation Common Stock,Technology,Retail: Computer Software & Peripheral Equipment,6171063666.0
CPB,The Campbell's Company Common Stock,Consumer Staples,Packaged Foods,6135854723.0
RYN,Rayonier Inc. REIT Common Stock,Real Estate,Real Estate Investment Trusts,6123213460.0
APGE,Apogee Therapeutics Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),6118601675.0
AUGO,Aura Minerals Inc. Common Shares,,,6081421805.0
PCTY,Paylocity Holding Corporation Common Stock,Technology,Computer Software: Prepackaged Software,6051549435.0
LW,Lamb Weston Holdings Inc. Common Stock ,Consumer Staples,Packaged Foods,6042065859.0
VSNT,Versant Media Group Inc. Class A Common Stock ,Industrials,Broadcasting,6037720300.0
TTAN,ServiceTitan Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software,6025656170.0
GATX,GATX Corporation Common Stock,Consumer Discretionary,Transportation Services,6023285000.0
RYTM,Rhythm Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,6019904199.0
VNO,Vornado Realty Trust Common Stock,Real Estate,Real Estate Investment Trusts,6015366237.0
MIRM,Mirum Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,6013968607.0
CGABL,The Carlyle Group Inc. 4.625% Subordinated Notes due 2061,Finance,Investment Managers,5984733221.0
PACS,PACS Group Inc. Common Stock,Health Care,Hospital/Nursing Management,5974782194.0
ACT,Enact Holdings Inc. Common Stock,Finance,Specialty Insurers,5965139834.0
UBSI,United Bankshares Inc. Common Stock,Finance,Major Banks,5961167003.0
TGTX,TG Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,5950358755.0
MSM,MSC Industrial Direct Company Inc. Common Stock,Industrials,Industrial Machinery/Components,5946354122.0
CHDN,Churchill Downs Incorporated Common Stock,Consumer Discretionary,Services-Misc. Amusement & Recreation,5932600809.0
ACA,Arcosa Inc. Common Stock ,Industrials,Metal Fabrications,5928385953.0
WH,Wyndham Hotels & Resorts Inc. Common Stock ,Consumer Discretionary,Hotels/Resorts,5924458545.0
ETSY,Etsy Inc. Common Stock,Consumer Discretionary,Business Services,5919626890.0
MRCY,Mercury Systems Inc Common Stock,Technology,Electrical Products,5917265540.0
OUT,OUTFRONT Media Inc. Common Stock,Real Estate,Real Estate Investment Trusts,5915733936.0
CAR,Avis Budget Group Inc. Common Stock,Consumer Discretionary,Rental/Leasing Companies,5901038911.0
BYD,Boyd Gaming Corporation Common Stock,Consumer Discretionary,Hotels/Resorts,5895124672.0
EAT,Brinker International Inc. Common Stock,Consumer Discretionary,Restaurants,5893211224.0
TFX,Teleflex Incorporated Common Stock,Health Care,Medical/Dental Instruments,5876870510.0
CORZW,Core Scientific Inc. Tranche 1 Warrants,Finance,Finance: Consumer Services,5874520196.0
SNDR,Schneider National Inc. Common Stock,Industrials,Trucking Freight/Courier Services,5849151887.0
OCTVV,Octave Intelligence plc Class B Ordinary Shares When Issued,Technology,Computer Software: Prepackaged Software,5838526500.0
LOAR,Loar Holdings Inc. Common Stock,Industrials,Military/Government/Technical,5836549522.0
CHE,Chemed Corp,Health Care,Medical/Nursing Services,5832110333.0
APPF,AppFolio Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software,5831329262.0
CZR,Caesars Entertainment Inc. Common Stock,Consumer Discretionary,Hotels/Resorts,5798682197.0
PFH,Prudential Financial Inc. 4.125% Junior Subordinated Notes due 2060,Finance,Life Insurance,5795895000.0
MAC,Macerich Company (The) Common Stock,Real Estate,Real Estate Investment Trusts,5794820916.0
NJR,NewJersey Resources Corporation Common Stock,Utilities,Oil/Gas Transmission,5779778486.0
RRR,Red Rock Resorts Inc. Class A Common Stock,Consumer Discretionary,Hotels/Resorts,5778982636.0
FLG,Flagstar Bank N.A. Common Stock,Finance,Banks,5772889440.0
IBP,Installed Building Products Inc. Common Stock,Consumer Discretionary,Homebuilding,5771238896.0
SRRK,Scholar Rock Holding Corporation Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),5767337908.0
POR,Portland General Electric Co Common Stock,Utilities,Electric Utilities: Central,5765669148.0
NXST,Nexstar Media Group Inc. Common Stock,Industrials,Broadcasting,5761786527.0
