symbol,factor,regime,beta_high,beta_low,diff,t_diff,n_high,n_low
AAL,usd_strength,Rates,1.0018,-1.2521,2.2539,3.3580,254,250
AAL,usd_strength,Bull-Bear,-0.0625,0.7221,-0.7846,-2.5206,2880,1037
AAL,volatility,VIX,0.2242,-0.1009,0.3251,10.0126,866,1808
AAL,volatility,Rates,0.1817,0.0200,0.1618,2.3796,257,260
AAL,volatility,Bull-Bear,-0.0896,0.2568,-0.3464,-10.9421,3099,1098
AAL,momentum,VIX,-1.5410,-0.0434,-1.4976,-3.5842,377,1322
AAL,momentum,Rates,-0.8149,-1.3483,0.5334,0.7786,169,150
AAL,momentum,Bull-Bear,-0.9242,0.0437,-0.9680,-2.8681,2080,531
AAL,quality,VIX,0.5419,-0.3170,0.8589,0.7671,377,1284
AAL,quality,Rates,-4.6637,-1.3319,-3.3319,-2.0654,162,147
AAL,quality,Bull-Bear,-0.3649,-0.1521,-0.2128,-0.2671,2023,531
AAL,value,VIX,3.1176,0.9185,2.1992,3.9960,397,1406
AAL,value,Rates,2.0837,-0.0014,2.0851,2.1481,171,155
AAL,value,Bull-Bear,1.9429,0.8205,1.1224,2.4795,2303,585
AAL,biotech,VIX,-1.0099,0.1875,-1.1974,-4.8770,377,1284
AAL,biotech,Rates,-0.0802,-0.2631,0.1829,0.4489,162,147
AAL,biotech,Bull-Bear,-0.0534,-0.2695,0.2161,1.3390,2023,531
AAL,defense,VIX,1.5648,0.0268,1.5380,5.9163,377,1284
AAL,defense,Rates,0.7022,-0.3374,1.0396,1.9932,162,147
AAL,defense,Bull-Bear,0.7177,0.6602,0.0575,0.2801,2023,531
AAL,growth,VIX,-0.0304,0.8909,-0.9212,-0.7580,377,1284
AAL,growth,Rates,2.7057,-0.4993,3.2050,1.6395,162,147
AAL,growth,Bull-Bear,0.4328,1.3833,-0.9504,-1.0663,2023,531
AAL,lithium,VIX,0.2664,0.2502,0.0162,0.0878,377,1284
AAL,lithium,Rates,-0.1696,0.1541,-0.3236,-1.0283,162,147
AAL,lithium,Bull-Bear,0.1848,0.3282,-0.1434,-0.9017,2023,531
AAL,semiconductors,VIX,0.1303,0.3698,-0.2395,-0.9757,377,1284
AAL,semiconductors,Rates,0.6822,0.4789,0.2034,0.5265,162,147
AAL,semiconductors,Bull-Bear,0.4057,0.2972,0.1085,0.6484,2023,531
AAL,uranium,VIX,-0.0089,0.0298,-0.0387,-0.2299,377,1284
AAL,uranium,Rates,0.1846,0.2526,-0.0679,-0.3004,162,147
AAL,uranium,Bull-Bear,0.0749,0.1186,-0.0437,-0.3667,2023,531
AAL,xl_consumer_defensive,VIX,-1.4366,-0.4531,-0.9834,-2.7417,377,1284
