symbol,n_snapshots,r2_direct,r2_+statistical,r2_total,marginal_statistical,marginal_derived,derived_share
IMVT,43,0.1199,0.1257,0.2090,0.0058,0.0833,0.3986
MDXG,74,0.1199,0.1312,0.1709,0.0112,0.0397,0.2324
LEU,74,0.1199,0.1325,0.2560,0.0126,0.1235,0.4825
MDGL,74,0.1199,0.1370,0.2602,0.0171,0.1232,0.4736
FLXS,74,0.1197,0.1407,0.1846,0.0210,0.0439,0.2378
BRCC,11,0.1197,0.1185,0.1470,-0.0012,0.0286,0.1942
PCT,30,0.1196,0.1685,0.2558,0.0489,0.0873,0.3414
OLMA,26,0.1195,0.1346,0.1970,0.0151,0.0624,0.3168
MNKD,74,0.1193,0.1286,0.2177,0.0094,0.0891,0.4092
PVLA,74,0.1186,0.1312,0.1976,0.0126,0.0663,0.3357
ADAMZ,14,0.1183,0.1270,0.1358,0.0087,0.0087,0.0641
CCAP,35,0.1180,0.1310,0.1555,0.0130,0.0245,0.1575
NXT,2,0.1180,0.1386,0.2641,0.0206,0.1255,0.4752
HRMY,29,0.1179,0.1306,0.2175,0.0127,0.0869,0.3994
EU,74,0.1178,0.1239,0.2655,0.0060,0.1417,0.5335
MRNA,49,0.1178,0.1626,0.3619,0.0448,0.1993,0.5507
OVLY,74,0.1176,0.1458,0.1735,0.0282,0.0277,0.1595
GIS,74,0.1175,0.1790,0.4135,0.0615,0.2345,0.5671
AEHR,74,0.1172,0.1356,0.1850,0.0184,0.0494,0.2670
NEXT,74,0.1170,0.1431,0.1777,0.0260,0.0346,0.1946
RILYP,39,0.1168,0.1223,0.1422,0.0055,0.0199,0.1399
VIR,39,0.1167,0.1641,0.2785,0.0474,0.1144,0.4107
GO,43,0.1164,0.1248,0.2058,0.0084,0.0811,0.3939
OCUL,74,0.1163,0.1364,0.2397,0.0201,0.1033,0.4309
HCXY,52,0.1156,0.1136,0.1168,-0.0020,0.0032,0.0276
EEX,69,0.1155,0.1506,0.1810,0.0351,0.0304,0.1680
TNGX,28,0.1154,0.1286,0.2150,0.0132,0.0865,0.4021
VMD,41,0.1151,0.1248,0.1580,0.0097,0.0332,0.2101
FINV,62,0.1151,0.1444,0.3002,0.0293,0.1559,0.5192
LWLG,74,0.1150,0.1298,0.1584,0.0149,0.0285,0.1802
ORN,74,0.1143,0.1244,0.1726,0.0101,0.0482,0.2792
SYRE,74,0.1143,0.1336,0.2074,0.0193,0.0739,0.3561
ZYME,69,0.1140,0.1307,0.2153,0.0166,0.0846,0.3929
NRP,74,0.1136,0.1250,0.1355,0.0114,0.0105,0.0775
NAGE,74,0.1135,0.1272,0.1844,0.0137,0.0571,0.3099
SNDX,74,0.1134,0.1244,0.2255,0.0110,0.1011,0.4483
CAG,74,0.1133,0.1573,0.3363,0.0441,0.1790,0.5321
RGR,74,0.1133,0.1296,0.1677,0.0164,0.0381,0.2269
LEGN,31,0.1131,0.1329,0.3032,0.0198,0.1703,0.5618
TXO,2,0.1126,0.1227,0.1204,0.0101,-0.0023,-0.0195
TLS,26,0.1126,0.1352,0.1724,0.0226,0.0373,0.2161
ASPI,2,0.1125,0.1324,0.1853,0.0199,0.0529,0.2855
GME,74,0.1125,0.1312,0.1813,0.0187,0.0501,0.2763
NKTR,74,0.1125,0.1294,0.2300,0.0169,0.1006,0.4373
IMKTA,74,0.1124,0.1363,0.2056,0.0239,0.0693,0.3371
SMR,10,0.1122,0.1265,0.2138,0.0143,0.0873,0.4083
VOR,23,0.1120,0.1333,0.2373,0.0213,0.1040,0.4382
PNRG,74,0.1118,0.1206,0.1546,0.0088,0.0340,0.2201
PAYS,74,0.1117,0.1227,0.1688,0.0110,0.0461,0.2731
MLYS,2,0.1111,0.1203,0.2121,0.0092,0.0918,0.4327
ATNI,74,0.1108,0.1433,0.1766,0.0325,0.0333,0.1885
TARS,27,0.1108,0.1338,0.2280,0.0231,0.0941,0.4129
ASLE,47,0.1105,0.1187,0.1638,0.0082,0.0450,0.2751
ACTG,74,0.1099,0.1289,0.1641,0.0190,0.0352,0.2144
TYRA,16,0.1098,0.1195,0.1429,0.0097,0.0235,0.1642
FSCO,2,0.1097,0.1102,0.1194,0.0005,0.0092,0.0771
APLD,9,0.1094,0.1179,0.1449,0.0085,0.0270,0.1863
MBINM,4,0.1088,0.1130,0.1442,0.0042,0.0312,0.2163
FGN,1,0.1087,0.1111,0.1925,0.0024,0.0814,0.4228
GOGO,74,0.1087,0.1264,0.1536,0.0177,0.0272,0.1773
RSVR,24,0.1086,0.1209,0.1545,0.0123,0.0336,0.2177
APEI,74,0.1084,0.1141,0.1353,0.0056,0.0212,0.1568
DAVE,21,0.1084,0.1259,0.1806,0.0175,0.0547,0.3030
SGU,74,0.1083,0.1191,0.1443,0.0108,0.0251,0.1741
ANAB,72,0.1083,0.1302,0.2123,0.0219,0.0820,0.3865
UTZ,50,0.1081,0.1225,0.1664,0.0144,0.0440,0.2643
HPK,56,0.1080,0.1158,0.1528,0.0078,0.0370,0.2421
GSAT,74,0.1080,0.1193,0.1537,0.0114,0.0343,0.2234
CVGW,74,0.1078,0.1298,0.1554,0.0220,0.0256,0.1645
RILYG,13,0.1078,0.1170,0.1384,0.0092,0.0214,0.1548
IMNM,27,0.1077,0.1394,0.1847,0.0316,0.0454,0.2456
CLDX,74,0.1077,0.1220,0.2117,0.0143,0.0897,0.4238
LQDT,74,0.1075,0.1161,0.1588,0.0086,0.0427,0.2688
UNFI,74,0.1074,0.1212,0.1778,0.0138,0.0566,0.3183
SIGA,74,0.1069,0.1183,0.1590,0.0114,0.0407,0.2560
CART,2,0.1062,0.1082,0.1872,0.0020,0.0790,0.4221
GBLI,74,0.1059,0.1233,0.1565,0.0174,0.0332,0.2122
EVLV,28,0.1052,0.1226,0.1501,0.0174,0.0275,0.1832
ARDX,74,0.1051,0.1120,0.1906,0.0069,0.0786,0.4125
NUTX,9,0.1049,0.1136,0.1621,0.0087,0.0485,0.2992
SJM,74,0.1045,0.1632,0.3596,0.0587,0.1964,0.5461
MKTW,28,0.1043,0.1171,0.1510,0.0127,0.0339,0.2246
ASMB,74,0.1039,0.1174,0.2087,0.0135,0.0913,0.4374
LAB,74,0.1038,0.1314,0.1790,0.0275,0.0476,0.2662
GBTG,5,0.1035,0.1088,0.1804,0.0053,0.0716,0.3970
VSTM,74,0.1032,0.1279,0.2257,0.0247,0.0978,0.4334
PLBC,74,0.1030,0.1222,0.1506,0.0191,0.0285,0.1890
CRMD,74,0.1025,0.1137,0.1651,0.0112,0.0514,0.3113
PBYI,74,0.1025,0.1163,0.2395,0.0139,0.1232,0.5142
VITL,29,0.1021,0.1172,0.1601,0.0151,0.0429,0.2678
MGNX,74,0.1020,0.1149,0.2042,0.0129,0.0892,0.4371
PANL,74,0.1019,0.1123,0.1562,0.0104,0.0439,0.2808
REPX,74,0.1019,0.1071,0.1292,0.0051,0.0222,0.1717
LBRDP,25,0.1018,0.1085,0.1193,0.0068,0.0107,0.0901
BVS,23,0.1009,0.1142,0.1289,0.0133,0.0148,0.1144
EYPT,74,0.1007,0.1145,0.1829,0.0139,0.0683,0.3736
WMK,74,0.1006,0.1296,0.2086,0.0290,0.0789,0.3785
AQST,54,0.1006,0.1241,0.2055,0.0235,0.0814,0.3962
ORGO,72,0.0997,0.1070,0.1390,0.0072,0.0320,0.2304
ADMA,74,0.0992,0.1140,0.1967,0.0148,0.0827,0.4203
CIFR,27,0.0992,0.1428,0.1948,0.0436,0.0520,0.2671
FULC,42,0.0987,0.1107,0.1695,0.0119,0.0588,0.3470
AURA,15,0.0980,0.1019,0.1554,0.0039,0.0534,0.3439
AVTX,74,0.0980,0.1129,0.1655,0.0149,0.0526,0.3177
REGCP,2,0.0976,0.0994,0.1604,0.0018,0.0610,0.3802
LXRX,74,0.0976,0.1098,0.2235,0.0122,0.1137,0.5089
FBIOP,62,0.0976,0.1117,0.1503,0.0141,0.0386,0.2568
NMRA,2,0.0971,0.1058,0.1895,0.0087,0.0837,0.4418
CADL,18,0.0967,0.1084,0.1385,0.0117,0.0301,0.2175
AVAH,21,0.0962,0.1044,0.1295,0.0082,0.0251,0.1936
HROW,74,0.0962,0.1070,0.1420,0.0108,0.0350,0.2464
CUBB,37,0.0959,0.0992,0.1436,0.0033,0.0444,0.3095
GERN,74,0.0957,0.1224,0.2337,0.0267,0.1114,0.4764
AIOT,74,0.0951,0.1068,0.1436,0.0116,0.0368,0.2566
DNTH,55,0.0948,0.1120,0.2156,0.0171,0.1037,0.4807
HYMC,58,0.0947,0.0995,0.1452,0.0048,0.0458,0.3152
PRLD,28,0.0941,0.1147,0.2109,0.0206,0.0962,0.4563
GLSI,28,0.0937,0.1011,0.1591,0.0074,0.0580,0.3644
TCI,74,0.0936,0.0979,0.1190,0.0044,0.0211,0.1772
JMSB,70,0.0933,0.1079,0.1345,0.0146,0.0265,0.1973
GCBC,74,0.0930,0.1140,0.1306,0.0210,0.0166,0.1272
RDNW,71,0.0928,0.1139,0.1547,0.0210,0.0409,0.2640
IDYA,44,0.0928,0.1121,0.2043,0.0193,0.0922,0.4514
SPRY,25,0.0928,0.1074,0.1677,0.0147,0.0603,0.3596
NVAX,74,0.0927,0.1206,0.2373,0.0280,0.1167,0.4916
