symbol,factor,n_obs,contemp_beta,contemp_t,lead_beta,lead_t,lag_beta,lag_t
AAPL,value,3507,-1.2894,-15.2472,-0.2008,-2.3006,0.0524,0.5996
AAPL,biotech,3109,-0.0006,-0.0193,0.0174,0.5933,-0.0515,-1.7601
AAPL,defense,3109,-0.0723,-1.7246,0.0623,1.4844,0.0404,0.9635
AAPL,growth,3109,0.8842,4.9265,0.3932,2.1838,-0.1648,-0.9148
AAPL,lithium,3109,0.0547,2.2595,0.0323,1.3343,0.0760,3.1431
AAPL,semiconductors,3109,-0.0036,-0.1160,0.0297,0.9626,-0.0979,-3.1786
AAPL,uranium,3109,-0.0420,-2.3772,0.0093,0.5265,-0.0081,-0.4578
AAPL,xl_consumer_defensive,3109,0.0772,1.4122,-0.0402,-0.7350,-0.0250,-0.4565
AAPL,xl_financials,3109,-0.1583,-2.2376,-0.1139,-1.6094,0.0998,1.4089
AAPL,xl_healthcare,3109,-0.0718,-1.3265,-0.0650,-1.2021,-0.0013,-0.0232
AAPL,xl_industrials,3109,-0.2202,-2.9367,0.0512,0.6814,0.1381,1.8396
AAPL,xl_real_estate,2564,-0.0037,-0.0810,0.0215,0.4757,0.0671,1.4849
AAPL,xl_utilities,3109,-0.0200,-0.5258,-0.0346,-0.9112,-0.0053,-0.1390
AAPL,china_a_shares,2564,0.0282,1.0668,-0.0094,-0.3560,-0.0969,-3.6743
AAPL,china_exposure,2564,0.0053,0.1892,-0.0011,-0.0392,-0.1204,-4.2733
AAT,market_beta,3759,0.9311,41.4477,-0.1005,-3.7110,-0.1504,-5.5672
AAT,copper,3547,0.0098,0.6171,0.0023,0.1445,0.0231,1.4529
AAT,credit_hy_spread,3759,-0.0724,-1.0980,-0.0813,-1.2331,0.0241,0.3654
AAT,energy_oil,3699,0.0077,0.5623,0.0057,0.4190,0.0391,2.8662
AAT,gold,3759,0.0616,2.0786,0.0528,1.7800,0.0372,1.2546
AAT,inflation,3759,0.1424,1.2063,0.1550,1.3129,0.1735,1.4700
AAT,natural_gas,3759,-0.0080,-0.8315,-0.0007,-0.0771,0.0110,1.1485
AAT,rates,3759,0.5664,7.7717,0.1194,1.6263,0.2166,2.9520
AAT,rates_30y,3759,0.1590,4.9150,0.0390,1.2024,0.1086,3.3510
AAT,usd_strength,3759,-0.0407,-0.6512,-0.1685,-2.6961,-0.3369,-5.4070
AAT,volatility,3759,-0.0155,-2.7532,-0.0180,-3.1985,-0.0034,-0.6107
AAT,momentum,3169,-0.5503,-8.9895,-0.0252,-0.4062,-0.0414,-0.6678
AAT,quality,3109,0.0295,0.1901,-0.0255,-0.1643,0.3441,2.2170
AAT,value,3507,1.7916,21.6696,-0.0212,-0.2404,0.0460,0.5229
AAT,biotech,3109,-0.0856,-2.8126,0.0023,0.0752,-0.0303,-0.9941
AAT,defense,3109,0.1530,3.5086,0.1915,4.3961,0.1220,2.7949
AAT,growth,3109,0.2442,1.3022,-0.4557,-2.4311,-0.2413,-1.2863
AAT,lithium,3109,-0.0062,-0.2447,0.0334,1.3250,0.0055,0.2187
AAT,semiconductors,3109,-0.0763,-2.3776,0.0581,1.8091,-0.0599,-1.8660
AAT,uranium,3109,-0.0233,-1.2674,0.0103,0.5596,0.0126,0.6868
AAT,xl_consumer_defensive,3109,0.0016,0.0286,-0.2159,-3.8006,-0.1458,-2.5634
AAT,xl_financials,3109,-0.0345,-0.4682,0.0382,0.5183,0.2058,2.7944
AAT,xl_healthcare,3109,-0.3015,-5.3770,-0.0996,-1.7677,0.0272,0.4821
AAT,xl_industrials,3109,-0.0917,-1.1728,0.1436,1.8375,0.1925,2.4647
AAT,xl_real_estate,2564,0.8336,18.1589,-0.0126,-0.2589,-0.0559,-1.1453
AAT,xl_utilities,3109,0.2065,5.2468,-0.0625,-1.5806,-0.1213,-3.0721
AAT,china_a_shares,2564,-0.0096,-0.3355,-0.0457,-1.6013,-0.1027,-3.6068
AAT,china_exposure,2564,-0.0073,-0.2404,-0.0744,-2.4430,-0.0729,-2.3909
